id,parent_id, locale, category_position, category_title, category_description, category_color, category_image, category_image_thumb, category_visible, category_trusted
"2607","976","en_US","0","DR. ROSINHA","DR. ROSINHA é DEPUTADO FEDERAL do PT pela Unidade da Federação PR","654624",NULL,NULL,"1","0"
"2608","976","en_US","0","DUARTE NOGUEIRA","DUARTE NOGUEIRA é DEPUTADO FEDERAL do PSDB pela Unidade da Federação SP","895624",NULL,NULL,"1","0"
"2609","976","en_US","0","DUDIMAR PAXIUBA","DUDIMAR PAXIUBA é DEPUTADO FEDERAL do PSDB pela Unidade da Federação PA","575624",NULL,NULL,"1","0"
"2610","976","en_US","0","DÉCIO LIMA","DÉCIO LIMA é DEPUTADO FEDERAL do PT pela Unidade da Federação SC","613624",NULL,NULL,"1","0"
"2611","976","en_US","0","EDINHO ARAÚJO","EDINHO ARAÚJO é DEPUTADO FEDERAL do PMDB pela Unidade da Federação SP","862624",NULL,NULL,"1","0"
"2612","976","en_US","0","EDINHO BEZ","EDINHO BEZ é DEPUTADO FEDERAL do PMDB pela Unidade da Federação SC","354624",NULL,NULL,"1","0"
"2613","976","en_US","0","EDIO LOPES","EDIO LOPES é DEPUTADO FEDERAL do PMDB pela Unidade da Federação RR","556624",NULL,NULL,"1","0"
"2614","976","en_US","0","EDIVALDO HOLANDA JUNIOR","EDIVALDO HOLANDA JUNIOR é DEPUTADO FEDERAL do PTC pela Unidade da Federação MA","925624",NULL,NULL,"1","0"
"2615","976","en_US","0","EDMAR ARRUDA","EDMAR ARRUDA é DEPUTADO FEDERAL do PSC pela Unidade da Federação PR","215624",NULL,NULL,"1","0"
"2616","976","en_US","0","EDSON EZEQUIEL","EDSON EZEQUIEL é DEPUTADO FEDERAL do PMDB pela Unidade da Federação RJ","674624",NULL,NULL,"1","0"
"2617","976","en_US","0","EDSON PIMENTA","EDSON PIMENTA é DEPUTADO FEDERAL do PSD pela Unidade da Federação BA","973624",NULL,NULL,"1","0"
"2618","976","en_US","0","EDSON SANTOS","EDSON SANTOS é DEPUTADO FEDERAL do PT pela Unidade da Federação RJ","517624",NULL,NULL,"1","0"
"2619","976","en_US","0","EDSON SILVA","EDSON SILVA é DEPUTADO FEDERAL do PSB pela Unidade da Federação CE","441624",NULL,NULL,"1","0"
"2620","976","en_US","0","EDUARDO AZEREDO","EDUARDO AZEREDO é DEPUTADO FEDERAL do PSDB pela Unidade da Federação MG","504624",NULL,NULL,"1","0"
"2621","976","en_US","0","EDUARDO BARBOSA","EDUARDO BARBOSA é DEPUTADO FEDERAL do PSDB pela Unidade da Federação MG","104624",NULL,NULL,"1","0"
"2622","976","en_US","0","EDUARDO CUNHA","EDUARDO CUNHA é DEPUTADO FEDERAL do PMDB pela Unidade da Federação RJ","876624",NULL,NULL,"1","0"
"2623","976","en_US","0","EDUARDO DA FONTE","EDUARDO DA FONTE é DEPUTADO FEDERAL do PP pela Unidade da Federação PE","246624",NULL,NULL,"1","0"
"2624","976","en_US","0","EDUARDO GOMES","EDUARDO GOMES é DEPUTADO FEDERAL do PSDB pela Unidade da Federação TO","508624",NULL,NULL,"1","0"
"2625","976","en_US","0","EDUARDO SCIARRA","EDUARDO SCIARRA é DEPUTADO FEDERAL do PSD pela Unidade da Federação PR","785624",NULL,NULL,"1","0"
"2626","976","en_US","0","EFRAIM FILHO","EFRAIM FILHO é DEPUTADO FEDERAL do DEM pela Unidade da Federação PB","237624",NULL,NULL,"1","0"
"2627","976","en_US","0","ELCIONE BARBALHO","ELCIONE BARBALHO é DEPUTADO FEDERAL do PMDB pela Unidade da Federação PA","802624",NULL,NULL,"1","0"
"2628","976","en_US","0","ELEUSES PAIVA","ELEUSES PAIVA é DEPUTADO FEDERAL do PSD pela Unidade da Federação SP","818624",NULL,NULL,"1","0"
"2629","976","en_US","0","ELI CORREA FILHO","ELI CORREA FILHO é DEPUTADO FEDERAL do DEM pela Unidade da Federação SP","780624",NULL,NULL,"1","0"
"2630","976","en_US","0","ELIENE LIMA","ELIENE LIMA é DEPUTADO FEDERAL do PSD pela Unidade da Federação MT","878624",NULL,NULL,"1","0"
"2631","976","en_US","0","ELISEU PADILHA","ELISEU PADILHA é DEPUTADO FEDERAL do PMDB pela Unidade da Federação RS","495624",NULL,NULL,"1","0"
"2632","976","en_US","0","EMANUEL FERNANDES","EMANUEL FERNANDES é DEPUTADO FEDERAL do PSDB pela Unidade da Federação SP","896624",NULL,NULL,"1","0"
"2633","976","en_US","0","ENIO BACCI","ENIO BACCI é DEPUTADO FEDERAL do PDT pela Unidade da Federação RS","694624",NULL,NULL,"1","0"
"2634","976","en_US","0","ERIKA KOKAY","ERIKA KOKAY é DEPUTADO FEDERAL do PT pela Unidade da Federação DF","968624",NULL,NULL,"1","0"
"2635","976","en_US","0","ERIVELTON SANTANA","ERIVELTON SANTANA é DEPUTADO FEDERAL do PSC pela Unidade da Federação BA","565624",NULL,NULL,"1","0"
"2636","976","en_US","0","ESPERIDIÃO AMIN","ESPERIDIÃO AMIN é DEPUTADO FEDERAL do PP pela Unidade da Federação SC","960624",NULL,NULL,"1","0"
"2637","976","en_US","0","EUDES XAVIER","EUDES XAVIER é DEPUTADO FEDERAL do PT pela Unidade da Federação CE","892624",NULL,NULL,"1","0"
"2638","976","en_US","0","EVANDRO MILHOMEN","EVANDRO MILHOMEN é DEPUTADO FEDERAL do PC do B pela Unidade da Federação AP","435624",NULL,NULL,"1","0"
"2639","976","en_US","0","FABIO TRAD","FABIO TRAD é DEPUTADO FEDERAL do PMDB pela Unidade da Federação MS","837624",NULL,NULL,"1","0"
"2640","976","en_US","0","FELIPE BORNIER","FELIPE BORNIER é DEPUTADO FEDERAL do PSD pela Unidade da Federação RJ","129624",NULL,NULL,"1","0"
"2641","976","en_US","0","FELIPE MAIA","FELIPE MAIA é DEPUTADO FEDERAL do DEM pela Unidade da Federação RN","0f5624",NULL,NULL,"1","0"
"2642","976","en_US","0","FERNANDO COELHO FILHO","FERNANDO COELHO FILHO é DEPUTADO FEDERAL do PSB pela Unidade da Federação PE","989624",NULL,NULL,"1","0"
"2643","976","en_US","0","FERNANDO FERRO","FERNANDO FERRO é DEPUTADO FEDERAL do PT pela Unidade da Federação PE","205624",NULL,NULL,"1","0"
"2644","976","en_US","0","FERNANDO FRANCISCHINI","FERNANDO FRANCISCHINI é DEPUTADO FEDERAL do PEN pela Unidade da Federação PR","985624",NULL,NULL,"1","0"
"2645","976","en_US","0","FERNANDO JORDÃO","FERNANDO JORDÃO é DEPUTADO FEDERAL do PMDB pela Unidade da Federação RJ","705624",NULL,NULL,"1","0"
"2646","976","en_US","0","FERNANDO MARRONI","FERNANDO MARRONI é DEPUTADO FEDERAL do PT pela Unidade da Federação RS","217624",NULL,NULL,"1","0"
"2647","976","en_US","0","FERNANDO TORRES","FERNANDO TORRES é DEPUTADO FEDERAL do PSD pela Unidade da Federação BA","403624",NULL,NULL,"1","0"
"2648","976","en_US","0","FILIPE PEREIRA","FILIPE PEREIRA é DEPUTADO FEDERAL do PSC pela Unidade da Federação RJ","459624",NULL,NULL,"1","0"
"2649","976","en_US","0","FLAVIANO MELO","FLAVIANO MELO é DEPUTADO FEDERAL do PMDB pela Unidade da Federação AC","569624",NULL,NULL,"1","0"
"2650","976","en_US","0","FLÁVIA MORAIS","FLÁVIA MORAIS é DEPUTADO FEDERAL do PDT pela Unidade da Federação GO","711624",NULL,NULL,"1","0"
"2651","976","en_US","0","FRANCISCO ARAÚJO","FRANCISCO ARAÚJO é DEPUTADO FEDERAL do PSD pela Unidade da Federação RR","425624",NULL,NULL,"1","0"
"2652","976","en_US","0","FRANCISCO ESCÓRCIO","FRANCISCO ESCÓRCIO é DEPUTADO FEDERAL do PMDB pela Unidade da Federação MA","748624",NULL,NULL,"1","0"
"2653","976","en_US","0","FRANCISCO FLORIANO","FRANCISCO FLORIANO é DEPUTADO FEDERAL do PR pela Unidade da Federação RJ","475624",NULL,NULL,"1","0"
